Sample-ID;Sample_Type;Sample_Project;Plant;Concentration;Richness;Type;Plateau;SynCom;Inoc;Plateau;Plant;Emergence_time;Emergence;Time;Category;Plant_height
T-R1-J0-1;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day0;#N/A;#N/A
T-R1-J0-2;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day0;#N/A;#N/A
T-R1-J0-3;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day0;#N/A;#N/A
T-R1-J0-4;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day0;#N/A;#N/A
T-R1-J8-1;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8-2;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8-3;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8-4;Sample;OSMOSE_Run1;No plant;No plant;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C0-1;Sample;OSMOSE_Run1;Plant;0;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C0-2;Sample;OSMOSE_Run1;Plant;0;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C0-3;Sample;OSMOSE_Run1;Plant;0;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C0-4;Sample;OSMOSE_Run1;Plant;0;14;Soil;16;;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C6-1;Sample;OSMOSE_Run1;Plant;6;14;Soil;16;SynCom14;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C6-2;Sample;OSMOSE_Run1;Plant;6;14;Soil;16;SynCom14;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C6-3;Sample;OSMOSE_Run1;Plant;6;14;Soil;16;SynCom14;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A
T-R1-J8C6-4;Sample;OSMOSE_Run1;Plant;6;14;Soil;16;SynCom14;#N/A;#N/A;#N/A;;#N/A;Day7;#N/A;#N/A